# along_strike_index, down_dip_index, cen_x, cen_y, cen_z
23.000000 1.000000 1722090.140341 5324478.630863 -13973.325288
23.000000 2.000000 1714599.792791 5330967.444184 -15281.865929
23.000000 3.000000 1707135.031194 5337434.092648 -16833.785609
23.000000 4.000000 1699708.950081 5343867.232595 -18677.302708
23.000000 5.000000 1692335.115452 5350255.111935 -20855.011701
23.000000 6.000000 1685024.278249 5356588.417233 -23386.373625
23.000000 7.000000 1677780.971266 5362863.221776 -26231.707052
23.000000 8.000000 1670660.737287 5369031.409404 -29568.873388
23.000000 9.000000 1663665.661452 5375091.173780 -33337.931467
23.000000 10.000000 1656783.320397 5381053.277142 -37439.047141
23.000000 11.000000 1650100.937241 5386842.158973 -42080.453114
23.000000 12.000000 1643562.091706 5392506.695594 -47079.489161
24.000000 0.000000 1739270.776561 5322825.706208 -11634.605854
24.000000 1.000000 1731789.066213 5329307.037206 -13006.588984
24.000000 2.000000 1724315.824953 5335781.031518 -14478.852175
24.000000 3.000000 1716857.961382 5342241.704291 -16095.495975
24.000000 4.000000 1709433.983124 5348673.022556 -17966.979270
24.000000 5.000000 1702046.275142 5355072.920243 -20070.489817
24.000000 6.000000 1694713.065553 5361425.606516 -22457.715005
24.000000 7.000000 1687457.441439 5367711.081266 -25226.782756
24.000000 8.000000 1680308.811720 5373903.867840 -28452.998163
24.000000 9.000000 1673224.588790 5380040.859455 -31919.695566
24.000000 10.000000 1666289.750987 5386048.440227 -35867.885800
24.000000 11.000000 1659508.290050 5391923.152149 -40269.252778
24.000000 12.000000 1652889.818448 5397656.668038 -45058.904286
25.000000 0.000000 1749528.864457 5327169.716070 -10013.334118
25.000000 1.000000 1742086.694695 5333616.793453 -11702.984625
25.000000 2.000000 1734640.490194 5340067.366090 -13390.427232
25.000000 3.000000 1727206.124402 5346507.682972 -15166.950745
25.000000 4.000000 1719787.124143 5352934.688846 -17069.955792
25.000000 5.000000 1712395.520589 5359337.961228 -19155.458776
25.000000 6.000000 1705051.203731 5365700.269618 -21507.615661
25.000000 7.000000 1697778.719599 5372000.350033 -24205.411573
25.000000 8.000000 1690565.787732 5378248.840916 -27182.242830
25.000000 9.000000 1683420.854443 5384438.425310 -30425.187769
25.000000 10.000000 1676416.235944 5390506.456401 -34176.161790
25.000000 11.000000 1669523.672079 5396477.415682 -38257.690292
