along_strike_index,down_dip_index,cen_x,cen_y,cen_z
30,1,1793405.2896087691,5355312.451991875,-7249.298370069047
30,2,1786103.5507273339,5361637.875504982,-9678.591038269065
30,3,1778762.2314969646,5367997.587079314,-11911.148120204016
30,4,1771385.6622578322,5374387.8353844,-13978.157815429202
30,5,1763985.6361654887,5380798.404127296,-15950.962278245686
30,6,1756572.2131419566,5387220.578497964,-17869.224508118514
30,7,1749161.1252768293,5393640.729944214,-19818.667001637088
30,8,1741771.1546169787,5400042.5877663065,-21909.614769214815
30,9,1734419.4331384497,5406411.310704392,-24220.25680580921
30,10,1727118.5345145687,5412736.0063107675,-26799.97739373778
30,11,1719896.5273310922,5418992.359049749,-29747.51402276649
30,12,1712758.5848186975,5425175.887403236,-33019.17995818223
30,13,1705733.6711574313,5431261.499991151,-36680.09047270241
30,14,1698842.3568316656,5437231.376808198,-40785.203476833405
30,15,1692034.16014737,5443129.249642051,-45113.03916927222
31,0,1810122.7027845858,5354060.812835626,-5012.980931353609
31,1,1802894.2925961749,5360322.712433873,-7798.205038526456
31,2,1795613.262418654,5366630.196203477,-10206.711631797978
31,3,1788234.3238411262,5373022.497042767,-12289.954848736365
31,4,1780832.913407769,5379434.265026466,-14139.004172468089
31,5,1773407.6488086232,5385866.697635896,-15960.960700350608
31,6,1765972.3381177923,5392307.83307428,-17679.61938046215
31,7,1758534.6577454754,5398751.021344083,-19446.728713301705
31,8,1751111.1490525776,5405181.932829456,-21308.696603480985
31,9,1743723.3826356495,5411581.881137907,-23411.24432354056
31,10,1736375.1710255716,5417947.563511985,-25743.82882702728
31,11,1729103.1136227932,5424247.274256388,-28466.2175446087
31,12,1721919.8603744642,5430470.054848161,-31572.983585579295
31,13,1714819.4920105222,5436621.033091878,-34970.49964867585
31,14,1707842.8474679072,5442664.830624086,-38798.9502420089
31,15,1700973.9353917872,5448615.3005958665,-42926.3756684125
31,16,1694212.5438591293,5454472.626594026,-47368.2446370077
32,0,1820839.9454617002,5358007.061493698,-5171.4657198576
32,1,1813611.3043962172,5364269.161098447,-7908.749475522613
32,2,1806337.4879592983,5370570.395676569,-10253.786906046369
32,3,1798968.1040777324,5376954.419378114,-12341.680066585915
32,4,1791547.027995265,5383383.223517351,-14124.276448146451
32,5,1784096.5301206699,5389837.515461445,-15757.740533739325
32,6,1776632.6087074042,5396303.436083106,-17267.726829237192
